sample_id,vertex_index,layer,attribute,x,y,z
0,v0,top,support,-7.733,-4.427,0.76
0,v1,top,load,-5.108,-4.427,0.76
0,v2,top,load,-0.983,-4.427,0.76
0,v3,top,load,2.017,-4.427,0.76
0,v4,top,load,5.392,-4.427,0.76
0,v5,top,support,7.267,-4.427,0.76
0,v6,top,load,-7.733,-2.177,0.76
0,v7,top,load,-4.358,-0.677,0.76
0,v8,top,load,-1.733,-0.677,0.76
0,v9,top,load,1.642,-2.552,0.76
0,v10,top,load,5.392,-1.802,0.76
0,v11,top,load,7.267,-2.177,0.76
0,v12,top,load,-7.733,0.448,0.76
0,v13,top,load,-5.108,0.448,0.76
0,v14,top,load,-2.483,1.573,0.76
0,v15,top,load,2.392,1.948,0.76
0,v16,top,load,4.642,2.698,0.76
0,v17,top,load,7.267,1.573,0.76
0,v18,top,support,-7.733,4.573,0.76
0,v19,top,load,-5.108,4.573,0.76
0,v20,top,load,-0.608,4.573,0.76
0,v21,top,load,1.267,4.573,0.76
0,v22,top,load,4.267,4.573,0.76
0,v23,top,support,7.267,4.573,0.76
0,v24,bottom,hinges,-6.678,-3.359,-1.865
0,v25,bottom,hinges,-2.815,-2.473,-1.115
0,v26,bottom,hinges,-0.382,-3.131,-1.49
0,v27,bottom,hinges,3.113,-3.534,-1.49
0,v28,bottom,hinges,6.162,-2.962,0.01
0,v29,bottom,hinges,-6.238,-0.983,-1.115
0,v30,bottom,hinges,-3.579,0.348,-1.115
0,v31,bottom,hinges,0.57,-0.19,0.385
0,v32,bottom,hinges,3.712,1.2,-1.49
0,v33,bottom,hinges,6.357,-0.768,-1.865
0,v34,bottom,hinges,-5.895,3.535,-1.49
0,v35,bottom,hinges,-2.728,3.179,-0.74
0,v36,bottom,hinges,0.278,2.947,-1.865
0,v37,bottom,hinges,3.124,3.003,-1.115
0,v38,bottom,hinges,5.322,3.682,-1.865
